country,year,pop,continent,lifeExp,gdpPercap
Afghanistan,1992,16317921,Asia,41.674,649.3413952
Afghanistan,1997,22227415,Asia,41.763,635.341351
Afghanistan,2002,25268405,Asia,42.129,726.7340548
Afghanistan,2007,31889923,Asia,43.828,974.5803384
Albania,1992,3326498,Europe,71.581,2497.437901
Albania,1997,3428038,Europe,72.95,3193.054604
Albania,2002,3508512,Europe,75.651,4604.211737
Albania,2007,3600523,Europe,76.423,5937.029526
Algeria,1992,26298373,Africa,67.744,5023.216647
Algeria,1997,29072015,Africa,69.152,4797.295051
Algeria,2002,31287142,Africa,70.994,5288.040382
Algeria,2007,33333216,Africa,72.301,6223.367465
Angola,1992,8735988,Africa,40.647,2627.845685
Angola,1997,9875024,Africa,40.963,2277.140884
Angola,2002,10866106,Africa,41.003,2773.287312
Angola,2007,12420476,Africa,42.731,4797.231267
Argentina,1992,33958947,Americas,71.868,9308.41871
Argentina,1997,36203463,Americas,73.275,10967.28195
Argentina,2002,38331121,Americas,74.34,8797.640716
Argentina,2007,40301927,Americas,75.32,12779.37964
Australia,1992,17481977,Oceania,77.56,23424.76683
Australia,1997,18565243,Oceania,78.83,26997.93657
Australia,2002,19546792,Oceania,80.37,30687.75473
Australia,2007,20434176,Oceania,81.235,34435.36744
Austria,1992,7914969,Europe,76.04,27042.01868
Austria,1997,8069876,Europe,77.51,29095.92066
Austria,2002,8148312,Europe,78.98,32417.60769
Austria,2007,8199783,Europe,79.829,36126.4927
Bahrain,1992,529491,Asia,72.601,19035.57917
Bahrain,1997,598561,Asia,73.925,20292.01679
Bahrain,2002,656397,Asia,74.795,23403.55927
Bahrain,2007,708573,Asia,75.635,29796.04834
Bangladesh,1992,113704579,Asia,56.018,837.8101643
Bangladesh,1997,123315288,Asia,59.412,972.7700352
Bangladesh,2002,135656790,Asia,62.013,1136.39043
Bangladesh,2007,150448339,Asia,64.062,1391.253792
Belgium,1992,10045622,Europe,76.46,25575.57069
Belgium,1997,10199787,Europe,77.53,27561.19663
Belgium,2002,10311970,Europe,78.32,30485.88375
Belgium,2007,10392226,Europe,79.441,33692.60508
Benin,1992,4981671,Africa,53.919,1191.207681
Benin,1997,6066080,Africa,54.777,1232.975292
Benin,2002,7026113,Africa,54.406,1372.877931
Benin,2007,8078314,Africa,56.728,1441.284873
Bolivia,1992,6893451,Americas,59.957,2961.699694
Bolivia,1997,7693188,Americas,62.05,3326.143191
Bolivia,2002,8445134,Americas,63.883,3413.26269
Bolivia,2007,9119152,Americas,65.554,3822.137084
Bosnia and Herzegovina,1992,4256013,Europe,72.178,2546.781445
Bosnia and Herzegovina,1997,3607000,Europe,73.244,4766.355904
Bosnia and Herzegovina,2002,4165416,Europe,74.09,6018.975239
Bosnia and Herzegovina,2007,4552198,Europe,74.852,7446.298803
Botswana,1992,1342614,Africa,62.745,7954.111645
Botswana,1997,1536536,Africa,52.556,8647.142313
Botswana,2002,1630347,Africa,46.634,11003.60508
Botswana,2007,1639131,Africa,50.728,12569.85177
Brazil,1992,155975974,Americas,67.057,6950.283021
Brazil,1997,168546719,Americas,69.388,7957.980824
Brazil,2002,179914212,Americas,71.006,8131.212843
Brazil,2007,190010647,Americas,72.39,9065.800825
Bulgaria,1992,8658506,Europe,71.19,6302.623438
Bulgaria,1997,8066057,Europe,70.32,5970.38876
Bulgaria,2002,7661799,Europe,72.14,7696.777725
Bulgaria,2007,7322858,Europe,73.005,10680.79282
Burkina Faso,1992,8878303,Africa,50.26,931.7527731
Burkina Faso,1997,10352843,Africa,50.324,946.2949618
Burkina Faso,2002,12251209,Africa,50.65,1037.645221
Burkina Faso,2007,14326203,Africa,52.295,1217.032994
Burundi,1992,5809236,Africa,44.736,631.6998778
Burundi,1997,6121610,Africa,45.326,463.1151478
Burundi,2002,7021078,Africa,47.36,446.4035126
Burundi,2007,8390505,Africa,49.58,430.0706916
Cambodia,1992,10150094,Asia,55.803,682.3031755
